year,co2_ppm,so2_mt_per_yr
1850,284.3169987996419,4.544463775546904
1851,284.4510040283203,4.5065997179040895
1852,284.59800211588544,4.548173376622195
1853,284.7309977213542,4.645593816185576
1854,284.8459981282552,5.062418700342138
1855,284.9409993489583,5.055876658386677
1856,285.04899342854816,5.188552235176194
1857,285.2039998372396,5.285746479984215
1858,285.3690007527669,5.3613428075002
1859,285.5449956258138,5.522088205892609
1860,285.73899332682294,5.787726354552483
1861,285.9330012003581,5.933301365192519
1862,286.1000010172526,5.943503850094243
1863,286.271001180013,6.119347249550137
1864,286.44200134277344,6.376488796870201
1865,286.6139958699544,6.64379561561145
1866,286.78099822998047,6.765960834568206
1867,286.9550018310547,7.119763794229744
1868,287.10500081380206,7.325189710974375
1869,287.2249984741211,7.571114078764871
1870,287.3549982706706,7.762947987099056
1871,287.4940007527669,8.019553553652756
1872,287.66399637858075,8.48727315533725
1873,287.8600006103516,8.932963275339493
1874,288.0609995524089,8.75070146459621
1875,288.29100290934247,9.09083843679748
1876,288.5199966430664,9.26618957848136
1877,288.7520014444987,9.510372735561647
1878,288.9930013020833,9.59766004197736
1879,289.2210006713867,10.093523219758184
1880,289.4699986775716,10.936322336520524
1881,289.7369969685872,11.293506730684229
1882,290.0190022786458,11.738848201266975
1883,290.26300048828125,12.254384026795949
1884,290.5119984944661,12.467245528478312
1885,290.7969970703125,12.570266226675043
1886,291.0999959309896,12.686263225278177
1887,291.4139989217122,13.190955216647929
1888,291.76300048828125,14.34215496072484
1889,292.1130015055339,14.33482126267808
1890,292.45799763997394,15.43278649207452
1891,292.8159993489583,16.026797541235865
1892,293.16699981689453,16.30684661199453
1893,293.4769999186198,16.215991510549767
1894,293.7909978230794,16.796573244078445
1895,294.0789972941081,17.66577430948931
1896,294.3649978637696,18.15088035932663
1897,294.6459986368816,19.011129160615837
1898,294.9539998372396,19.98900756541145
1899,295.2999979654948,21.642463314519087
1900,295.6749954223633,22.66210070818357
1901,296.0069986979167,23.51382736732285
1902,296.3249994913737,24.163401119203183
1903,296.6539967854817,26.047680304321677
1904,296.95399475097656,26.50752099131453
1905,297.28899637858075,28.1580284765171
1906,297.6619974772136,29.48689883596641
1907,298.0979944864909,32.47930467684103
1908,298.5179901123047,31.1328570372851
1909,298.93599192301434,32.691010925715105
1910,299.37699635823566,34.19279814080697
1911,299.82899220784503,34.43465077956312
1912,300.3529917399089,35.92235270992954
1913,300.9099934895833,38.08608969798272
1914,301.4189910888672,35.13405679461169
1915,301.9369888305664,35.09148717862071
1916,302.48498789469403,38.07157452770289
1917,303.01098887125653,39.75198229077258
1918,303.44898732503253,39.42498449874762
1919,303.8139877319336,33.93663047851452
1920,304.24598693847656,37.54682245999263
1921,304.59998830159503,32.04941278054283
1922,304.9449818929036,33.84898546620051
1923,305.27098337809247,39.38589958706581
1924,305.62998453776044,38.982972280573016
1925,305.81298065185547,39.41628780998716
1926,305.9539845784505,39.55611645919673
1927,306.17698669433594,42.21370855415179
1928,306.3289794921875,42.06447172030944
1929,306.49498748779297,44.73465018561838
1930,306.6199773152669,41.51990606932174
1931,306.82198333740234,36.63913266166543
1932,307.09297943115234,32.251895421366335
1933,307.40198008219403,33.93713756563494
1934,307.7849833170573,37.30163266035201
1935,308.2269795735677,40.09333853070194
1936,309.01197306315106,43.12786142043625
1937,309.7639745076497,46.39105112796913
1938,310.2939758300781,43.01883965710126
1939,310.8509750366211,45.9488545379652
1940,311.35697682698566,50.23977106039386
1941,311.8109741210937,52.14654754131045
1942,312.17197672526044,53.32090163909221
1943,312.3899790445964,54.13624125624317
1944,312.41297149658203,53.073505040535714
1945,312.38497670491535,46.7569020311827
1946,312.38997141520184,46.202503687994174
1947,312.48597208658856,51.876230112361256
1948,312.5209681193034,54.2400156975523
1949,312.63197072347003,52.31608637500197
1950,312.8209762573242,58.20628819753501
1951,313.01397196451825,60.663231512792365
1952,313.3419774373372,61.4498930861673
1953,313.72996775309247,62.68709013819596
1954,314.09496815999347,63.10483375289556
1955,314.4149703979492,69.00315621483612
1956,314.6979675292969,74.12190737350447
1957,314.9919611612956,77.62640658359288
1958,315.344965616862,78.56142199356961
1959,315.8069661458333,82.51022591859517
1960,316.62496693929035,85.80760420569459
1961,317.29896291097003,96.59080751826748
1962,318.0439631144206,98.59311393203902
1963,318.64996337890625,101.67847108515984
1964,319.3329620361328,105.49869079223198
1965,319.81596120198566,107.9591805044858
1966,320.8799565633138,110.36645496630516
1967,321.4799575805664,109.35519326684204
1968,322.3889567057292,113.55959768195832
1969,323.25095621744794,116.75347887979434
1970,324.78295644124347,122.86787802343206
1971,325.3999557495117,123.2413270963095
1972,327.3489532470703,126.7324978756456
1973,329.90895080566406,132.4288265395
1974,330.7559534708659,130.53960340695352
1975,330.8269551595052,128.16559132593756
1976,331.5449498494466,134.0976168733828
1977,333.3529459635417,135.3432377512975
1978,335.00994873046875,135.83417396469358
1979,336.60494740804035,138.02440074525126
1980,338.70494588216144,137.3534112392945
1981,340.05894978841144,133.16990108345564
1982,340.6439412434896,130.86045303509695
1983,342.26594797770184,128.90373447756497
1984,344.00794728597003,130.4163406761621
1985,345.4589538574219,130.744205181854
1986,346.902946472168,130.75455769844152
1987,348.77494557698566,133.23433411785436
1988,351.2759323120117,134.3653494746133
1989,352.89392344156903,134.41616789400453
1990,354.07293192545575,133.9791277858574
1991,355.35293833414715,132.7375511716136
1992,356.22894795735675,128.2477767678287
1993,356.9249598185221,126.19423016578818
1994,358.2539596557617,123.44841524770855
1995,360.2389551798503,121.082118475163
1996,362.0049616495768,119.11420647057
1997,363.25195566813153,119.55004809486935
